,state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
1795,California,Alameda County,6001,2020-01-26,0.000,,
395794,California,Alameda County,6001,2020-01-27,0.000,,
6730,California,Alameda County,6001,2020-01-31,0.000,,low
399009,California,Alameda County,6001,2020-02-05,0.000,,low
402543,California,Alameda County,6001,2020-02-06,0.000,,low
791448,California,Alameda County,6001,2020-02-09,0.000,,low
405861,California,Alameda County,6001,2020-02-10,0.000,,low
795674,California,Alameda County,6001,2020-02-11,0.000,,low
8962,California,Alameda County,6001,2020-02-13,0.000,,low
11419,California,Alameda County,6001,2020-02-14,0.000,,low
17493,California,Alameda County,6001,2020-02-16,0.000,,low
19311,California,Alameda County,6001,2020-02-17,0.000,,low
409093,California,Alameda County,6001,2020-02-20,0.000,,low
413659,California,Alameda County,6001,2020-02-22,0.000,,low
797520,California,Alameda County,6001,2020-02-23,0.000,,low
414399,California,Alameda County,6001,2020-02-24,0.000,,low
801476,California,Alameda County,6001,2020-02-25,0.000,,low
21095,California,Alameda County,6001,2020-02-28,0.000,,low
26021,California,Alameda County,6001,2020-03-04,suppressed,6.45,low
803580,California,Alameda County,6001,2020-03-09,suppressed,0.0,low
806450,California,Alameda County,6001,2020-03-10,suppressed,3.8,low
811841,California,Alameda County,6001,2020-03-11,suppressed,6.85,moderate
419095,California,Alameda County,6001,2020-03-12,suppressed,4.29,low
422372,California,Alameda County,6001,2020-03-17,0.897,7.81,moderate
27536,California,Alameda County,6001,2020-03-20,1.795,7.71,moderate
812898,California,Alameda County,6001,2020-03-21,2.992,7.72,moderate
32219,California,Alameda County,6001,2020-03-23,4.248,6.57,moderate
426308,California,Alameda County,6001,2020-03-27,8.556,7.43,moderate
36119,California,Alameda County,6001,2020-03-28,8.676,6.76,moderate
816492,California,Alameda County,6001,2020-03-29,8.077,7.04,moderate
428733,California,Alameda County,6001,2020-04-04,11.308,9.43,substantial
821851,California,Alameda County,6001,2020-04-06,13.522,9.28,substantial
431258,California,Alameda County,6001,2020-04-07,15.497,9.14,substantial
38728,California,Alameda County,6001,2020-04-12,16.933,8.44,substantial
822984,California,Alameda County,6001,2020-04-13,17.890,8.65,substantial
827894,California,Alameda County,6001,2020-04-14,17.591,8.95,substantial
434800,California,Alameda County,6001,2020-04-15,16.933,8.63,substantial
42581,California,Alameda County,6001,2020-04-16,19.206,8.86,substantial
829769,California,Alameda County,6001,2020-04-19,20.044,9.04,substantial
438815,California,Alameda County,6001,2020-05-02,14.719,4.62,moderate
442022,California,Alameda County,6001,2020-05-03,16.933,4.41,moderate
443376,California,Alameda County,6001,2020-05-05,16.095,4.28,moderate
45702,California,Alameda County,6001,2020-05-07,18.010,4.49,moderate
446972,California,Alameda County,6001,2020-05-11,18.907,4.81,moderate
450235,California,Alameda County,6001,2020-05-14,18.967,4.55,moderate
453054,California,Alameda County,6001,2020-05-16,19.984,4.88,moderate
834343,California,Alameda County,6001,2020-05-17,18.907,4.88,moderate
49750,California,Alameda County,6001,2020-06-03,33.566,5.63,moderate
458770,California,Alameda County,6001,2020-06-06,31.472,4.79,moderate
459140,California,Alameda County,6001,2020-06-07,29.797,4.54,moderate
464197,California,Alameda County,6001,2020-06-08,30.215,4.34,moderate
465584,California,Alameda County,6001,2020-06-24,43.738,4.69,moderate
471675,California,Alameda County,6001,2020-06-27,51.217,4.87,substantial
52191,California,Alameda County,6001,2020-07-04,59.055,5.64,substantial
472775,California,Alameda County,6001,2020-07-07,72.158,5.39,substantial
475260,California,Alameda County,6001,2020-07-08,68.209,5.57,substantial
480964,California,Alameda County,6001,2020-07-10,62.705,5.55,substantial
482847,California,Alameda County,6001,2020-07-11,63.782,5.58,substantial
54453,California,Alameda County,6001,2020-07-15,77.304,5.98,substantial
486766,California,Alameda County,6001,2020-07-17,77.603,5.98,substantial
58326,California,Alameda County,6001,2020-07-22,61.448,5.47,substantial
490991,California,Alameda County,6001,2020-08-01,76.586,5.79,substantial
492828,California,Alameda County,6001,2020-08-02,76.646,5.76,substantial
60130,California,Alameda County,6001,2020-08-03,75.210,5.66,substantial
495673,California,Alameda County,6001,2020-08-08,82.689,5.53,substantial
